,,Taxonomy,,,Agreement,,,
holds liquids,26,function,function,,,,,"barrel, bowl, canister, jar, glass, bucket, mug, tank2, can, bottle, cup, keg, pot, chalice, flask, jug, saucer, trough, paper_plate, beaker, water_bottle, thermos, goblet, vial, wineglass, ladle"
is chewy,26,tactile,taste,,,,,"calamari, fudge, gumdrop, jelly_bean, licorice, peppermint, taffy, brownie, candy, gumball, gum, lollipop, caramel, candy_bar, cookie, raisin, dumpling, bagel, steak, pita, candy_cane, prune, string_cheese, marshmallow, spareribs, fig"
is stored easily,26,encyclopedic,encyclopedic,,,,,"dustpan, cutting_board, plunger, ski_pole, flyswatter, rake, broom, dumbbell, corkscrew, shoehorn, air_mattress, waffle_iron, umbrella, eggbeater, sugar_cube, mop, rolling_pin, backscratcher, sweeper, teabag, mold1, cookie_cutter, knitting_needle, cake_mix, nail_file, sewing_kit"
has a beak,25,visual-form_and_surface,visual-form_and_surface,,,,,"bird, duck, duckling, parrot, pigeon, platypus, rooster, squid, swan, turkey, chicken1, crow, goose, owl, penguin, seagull, cardinal, chick, cockatoo, octopus, ostrich, pheasant, eagle, chicken2, hawk"
has a unique flavor,25,taste,taste,,,,,"artichoke, eel, okra, oyster, fig, jalapeno, kiwi, papaya, pistachio, pomegranate, asparagus, mango, broccoli, saffron, mushroom, avocado, mulberry, pineapple, eggplant, tamale, arugula, clove, ginger, cocktail, macadamia"
is casual,25,encyclopedic,encyclopedic,,,,,"cardigan, dress, outfit, shorts, flip_flop, pants, t-shirt, blouse, clothes, pantsuit, suit, skirt, jumpsuit, sandal, shirt, tie, stiletto, uniform, polo_shirt, shoe, jersey, hoodie, beanie, vest, sweater"
is used for medical purposes,25,function,function,,,,,"ice_cube, thermometer, bandage, bone, plaster_cast, gauze, leech, needle, centrifuge, air_pump, maggot, eyedropper, eye_patch, mask, corset, syringe, gel, brace, inhaler, sonogram, sling, swab, tweezers, spider_web, magnet"
is warm,25,tactile,tactile,,,,,"turtleneck, fur_coat, hot_chocolate, sweater, blanket, mashed_potato, quilt, puddle, snowsuit, pie, stew, cardigan, beanie, slipper, hoodie, latte, mitten, nest, bathrobe, sleeping_bag, potpie, toast, salad, oatmeal, sweatsuit"
comes in different styles,24,visual-form_and_surface,visual-form_and_surface,,,,,"jewelry, blinder, loveseat, overalls, boot, dress, jeans, swimsuit, blind, jacket, doll, shutter, underwear, clothes, lingerie, hat, panties, jewel, pajamas, cane, pants, shoe, coat, slipper"
has a filter,24,encyclopedic,encyclopedic,,,,,"juicer2, water_cooler, air_conditioner, cigarette, coffeemaker, vacuum, coffee_pot, cigarette_butt, gas_mask, face_mask, water_fountain, cigarette_holder, aquarium, showerhead, pipe1, washing_machine, spout, vent, faucet, blower, furnace, fishbowl, cigar, dishwasher"
has a texture,24,tactile,visual-form_and_surface,,,,,"cheese, steak, cookie, corkboard, meat, wallpaper, towel, basketball, banana_peel, toothpaste, cake, eraser, canvas, hair, wall, bread, lipstick, painting, rock, twig, wrapping_paper, patty, petal, shell2"
is a kitchen tool,24,function,taxonomic,,,,,"eggbeater, grater, peeler, pepper_mill, rolling_pin, sifter, slicer, spatula, whisk, pepper2, juicer1, cutting_board, measuring_cup, strainer, mold1, can_opener, nutcracker, cookie_sheet, potholder, cleaver, cookie_cutter, skewer, scoop, meat_grinder"
is found in forests,24,encyclopedic,encyclopedic,,,,,"deer, bush, snail, stick, pine_tree, caterpillar, lightning_bug, panther, pheasant, fern, pinecone, squirrel, firewood, hedgehog, pine_needle, boar, butterfly, praying_mantis, porcupine, bear, fox, monkey, stump, ivy"
is painted or stained,24,visual-color,visual-color,,,,,"door, fence, lumber, peg, wood, board, fencepost, bedpost, mantle, dresser, shutter, cabinet, railing, frame, bench, chest2, bookshelf, nightstand, windowsill, birdhouse, gate, rocking_chair, table, doghouse"
is round or rectangular in shape,24,visual-form_and_surface,visual-form_and_surface,,,,,"pie, manhole, taillight, biscuit, hatbox, pizza, ashtray, duct, shield, headlight, pot, vent, birthday_cake, pedal, bin, fishbowl, peppermint, wafer, keyhole, magnifying_glass, dish, cake, pastry, pincushion"
is used for relaxation,24,function,function,,,,,"bathtub, hot_tub, hammock, rocking_chair, shower, float, recliner, swing, footbath, jigsaw_puzzle, blindfold, candle, potpourri, incense, robe, wind_chimes, pipe1, slipper, lavender, beanbag, chime, hot-water_bottle, hourglass, bathrobe"
comes in various sizes and styles,23,visual-form_and_surface,visual-form_and_surface,,,,,"coat, hammock, pajamas, sofa_bed, stroller, cleat, rim, saddle, towel_rack, clothes, underwear, headphones, ski_boots, boot, recliner, headband, shoe, belt, hook1, pants, bracelet1, bikini, doorhandle"
has a mouthpiece,23,visual-form_and_surface,visual-form_and_surface,,,,,"horn, inhaler, recorder, snorkel, whistle, flute, breathalyzer, clarinet, hookah, megaphone, trumpet, harmonica, blowgun, french_horn, trombone, saxophone, tuba, kazoo, water_bottle, cigarette_holder, scuba, bagpipe, pipe1"
has a screen,23,visual-form_and_surface,visual-form_and_surface,,,,,"camcorder, cellphone, laptop, phone, photo_booth, television, camera1, jukebox, sifter, calculator, cash_machine, computer, stopwatch, tablet, dial, polygraph, camera2, clock, defibrillator, viewfinder, stereo, tape_recorder, printer"
has different shapes and designs,23,visual-form_and_surface,visual-form_and_surface,,,,,"punching_bag, grille, stair, mask, baton1, rattle, hairbrush, knob, cufflink, doorhandle, shaker, weather_vane, lego, centerpiece, penholder, kite, easter_egg, doorknocker, toothbrush, squirt_gun, aquarium, origami, clasp"
D,23,encyclopedic,tactile,,,,,"hoodie, leggings, t-shirt, jersey, sandal, sweatsuit, polo_shirt, moccasin, boxer_shorts, bathrobe, leotard, bikini, jeans, undershirt, skirt, pantsuit, earplug, overalls, turtleneck, beanie, headset, headband, jumpsuit"
is crispy,23,tactile,taste,,,,,"chips, cookie, cracker, french_fries, ice-cream_cone, piecrust, toast, tortilla, biscuit, wafer, bacon, waffle, breadstick, egg_roll, crouton, cordon_bleu, nacho, spring_roll, tostada, pastry, cucumber, croissant, baklava"
is pointed,23,visual-form_and_surface,visual-form_and_surface,,,,,"arrow, needle, dart, pine_needle, thorn, quill, icicle, nail, icepick, spur, toothpick, pin, stake, poker, chin, javelin, trident, spear, stalagmite, stiletto, tack, letter_opener, knitting_needle"
is used for competition,23,function,function,,,,,"boxing_gloves, dartboard, hula_hoop, yo-yo, arrow, catapult, kite, bow2, football, hourglass, frisbee, scoreboard, spur, target, tennis_ball, balance_beam, pony, bat2, leotard, dart, javelin, iceskate, ski"
is used for sport,23,function,function,,,,,"crossbow, paddle, bow2, arrow, boomerang, rollerblade, dart, iceskate, skateboard, cannonball, slingshot, whip, bowling_ball, rollerskate, sled, blowgun, kite, basketball, frisbee, baseball_bat, quad, pigeon, ski"
is used in medicine,23,function,function,,,,,"cactus, eyedropper, garlic, thermometer, poppy, plant, clove, microscope, mint, magnifier, powder, seaweed, pine_needle, root, flower, mushroom, gel, fungus, bark, syrup, basil, ginger, honeycomb"
requires skill to use effectively,23,encyclopedic,encyclopedic,,,,,"slingshot, catapult, tackle, boomerang, dart, spear, sword, tool, bow2, chopsticks, quill, tee, cleaver, trap, baton4, blowgun, arrow, whip, bowling_ball, oar, bat2, frisbee, golf_club"
travels long distances,23,encyclopedic,encyclopedic,,,,,"airplane, taxi, train, aircraft_carrier, ship, tank1, yacht, hot-air_balloon, jet, rocket, train_car, helicopter, ferry, missile, cruise_ship, bus, javelin, torpedo, trolley, tee, blimp, seaplane, sailboat"
has a creamy texture,22,tactile,taste,,,,,"butter, pudding, hummus, guacamole, milk, macadamia, cream, avocado, grits, oatmeal, cashew, latte, fudge, lipstick, yogurt, hot_chocolate, cream_cheese, scrambled_egg, whipped_cream, sweet_potato, tiramisu, parfait"
is made of stone,22,visual-form_and_surface,visual-form_and_surface,,,,,"boulder, chimney, fire_pit, gravestone, marble, arch, mantle, curb, fireplace, sarcophagus, sundial, column, tile, gargoyle, statue, jewelry, throne, altar, birdbath, windowsill, pulpit, counter"
is painted,22,visual-color,visual-color,,,,,"dollhouse, fence, car_door, fencepost, clay, hubcap, totem_pole, doghouse, figurine, statue, wood, rocking_horse, birdhouse, lamppost, toe, wall, mantle, brick, rocking_chair, rim, flagpole, gate"
is traditional,22,encyclopedic,encyclopedic,,,,,"cuckoo_clock, abacus, tattoo, loincloth, sickle, braid, tea, pencil, headdress, hopscotch, yoke, quill, gondola, wreath, sauerkraut, washboard, dartboard, fondue, hookah, teepee, weather_vane, sombrero"
requires batteries,22,encyclopedic,encyclopedic,,,,,"flashlight, laser_pointer, torch, water_cooler, hearing_aid, lamp, megaphone, polaroid, cd_player, clock, doorbell, flashbulb, remote_control, clipper2, fire_alarm, radio, record_player, headlamp, metal_detector, reel, tape_recorder, smoke_alarm"
 m sorry,21,,,,,,,"noose, chicken2, blower, chili, chin, muff, panties, pump, lumber, pepper2, buggy, bungee, marijuana, spout, bomb, tab, triangle, straw1, mail, hash, punch2"
has a locking mechanism,21,encyclopedic,visual-form_and_surface,,,,,"chain, lock, bank, filing_cabinet, clipper1, knob, padlock, handcuff, pocketknife, tongs, revolving_door, safety_pin, tape_measure, reel, latch, fire_hydrant, doorknob, turnstile, combination_lock, cash_register, seatbelt"
has a distinct shape,20,visual-form_and_surface,visual-form_and_surface,,,,,"petal, walnut, cashew, pear, tuning_fork, bowtie, boxing_gloves, tiara, violin, pecan, okra, acorn, blimp, palm_tree, pretzel, bongo, tulip, shield, almond, skull"
has a heating element,20,encyclopedic,encyclopedic,,,,,"coffeemaker, burner, hairdryer, kettle, heater, water_heater, cooker, toaster_oven, toaster, curling_iron, dishwasher, waffle_iron, coffee_pot, dryer, flatiron, soldering_iron, oven, grill, stove1, footbath"
has a strong sense of smell,20,encyclopedic,encyclopedic,,,,,"badger, dalmatian, porcupine, bear, hyena, ram, anteater, polar_bear, rat, boar, bull, goat, eel, ant, ferret, vulture, wolf, hedgehog, horse, rhinoceros"
has medicinal properties,20,encyclopedic,function,,,,,"weed, cinnamon, garlic, saffron, basil, ginger, lavender, mint, aloe, clove, honey, mushroom, poppy, cilantro, mistletoe, dandelion, fungus, cactus, rose, flower"
is a decorative item,20,taxonomic,function,,,,,"sequin, birdbath, doily, napkin_ring, bow3, candelabra, patch, centerpiece, inkwell, cornucopia, cufflink, garter, cuckoo_clock, pom-pom, candlestick, hourglass, jewel, jewelry, wreath, figurine"
is a source of antioxidants,20,encyclopedic,encyclopedic,,,,,"celery, parsley, onion, broccoli, mulberry, lime, radish, cabbage, olive, arugula, mustard, grape, lemon, cilantro, rhubarb, cherry, artichoke, blueberry, kale, prune"
is made of wool,20,visual-form_and_surface,visual-form_and_surface,,,,,"kilt, mitten, sweater, bowler_hat, stockings, toga, shawl, scarf, sock, cardigan, beanie, muff, top_hat, yarn, blanket, cloak, tuxedo, rug, turtleneck, tapestry"
is matte,20,visual-form_and_surface,visual-form_and_surface,,,,,"lipstick, nail_polish, paint, wrapping_paper, eyeliner, lip_gloss, hubcap, confetti, marble, ribbon, belt_buckle, bead, bow3, poster, wallpaper, sticker, photograph, shoe_polish, earring, leaf"
is seasoned with spices,20,encyclopedic,taste,,,,,"meat, stake, sausage, spareribs, steak, gyro, meatball, omelet, salami, crouton, hash, kebab, patty, pepperoni, stew, french_fries, dip, bologna, ham, soup"
is sliced,20,encyclopedic,visual-form_and_surface,,,,,"bread, pepperoni, bologna, cake, pickle, pie, sandwich, toast, ham, pizza, bun, roll, cheese, bacon, sausage, steak, meatloaf, lemon, lime, salami"
is used for organization,20,function,function,,,,,"block, binder, penholder, tag, file2, basket, towel_rack, bulletin_board, trunk, bracket, pocket, toolbox, coat_rack, hook1, filing_cabinet, closet, dresser, wallet, corkboard, folder"
is used outdoors,20,function,function,,,,,"padlock, pinwheel, grill, slide, squirt_gun, watering_can, sundial, sprinkler, clothesline, hammock, hoe, torch, megaphone, mosquito_net, pickax, trampoline, pogo_stick, tee, flypaper, frisbee"
has a cap,19,visual-form_and_surface,visual-form_and_surface,,,,,"fountain_pen, pen, water_bottle, bottle, fire_hydrant, highlighter, hot-water_bottle, marker, oilcan, acorn, flask, hydrant, vial, mushroom, toothpaste, inhaler, chimney, shaker, lipstick"
has a hard exoskeleton,19,visual-form_and_surface,visual-form_and_surface,,,,,"ant, beetle, crayfish, scorpion, tick, grasshopper, lobster, shrimp, bug, lightning_bug, cockroach, spider, crab, sea_urchin, coral, ladybug, tarantula, starfish, barnacle"
has handles for carrying,19,visual-form_and_surface,visual-form_and_surface,,,,,"stretcher, basket, bin, cooler, laundry_basket, luggage, tray, container, duffel_bag, crate, bassinet, trunk, hatbox, paper_bag, trough, box, coffin, trashcan, urn"
has shelves,19,visual-form_and_surface,visual-form_and_surface,,,,,"bookshelf, refrigerator, cabinet, nightstand, rack2, rack1, closet, dumbwaiter, freezer, locker, mantle, desk, oven, table, target, incubator, shelf, wine_cooler, dresser"
has sleeves,19,visual-form_and_surface,visual-form_and_surface,,,,,"coat, jacket, shirt, sweater, raincoat, bathrobe, blouse, coverall, dress, hoodie, jersey, robe, jumpsuit, nightshirt, overalls, snowsuit, cloak, wetsuit, undershirt"
is boiled,19,encyclopedic,encyclopedic,,,,,"dumpling, egg, pasta, vegetable, brussels_sprouts, potato, corn, rice, okra, chickpea, artichoke, noodle, peanut, tortellini, sweet_potato, beet, cabbage, asparagus, bagel"
is electric or gas - powered,19,encyclopedic,encyclopedic,,,,,"blower, golf_cart, oven, soldering_iron, stove2, dryer, hotplate, furnace, heater, cooker, water_heater, burner, buggy, cement_mixer, blowtorch, chainsaw, stove1, trolley, toaster_oven"
is fast and agile,19,visual-motion,visual-motion,,,,,"antelope, cheetah, rabbit, gazelle, deer, dolphin, cougar, meerkat, panther, tiger, weasel, swordfish, mongoose, leopard, wolf, chipmunk, mouse1, dragonfly, lion"
is made of fiberglass,19,visual-form_and_surface,visual-form_and_surface,,,,,"bobsled, surfboard, sailboat, springboard, hot_tub, javelin, trailer, yacht, sidecar, mannequin, airboat, kayak, baton3, diving_board, plaster_cast, motherboard, camper, fishing_pole, speedboat"
is often eaten as a snack,19,encyclopedic,function,,,,,"salami, chocolate, donut, quiche, string_cheese, biscuit, calzone, jelly_bean, walnut, applesauce, wafer, pretzel, bun, cracker, pastry, sardine, cherry, pistachio, banana"
is oval,19,visual-form_and_surface,visual-form_and_surface,,,,,"doorknob, egg, olive, papaya, satellite_dish, yoke, radish, paper_plate, keyhole, pill, pumpkin, tortilla, melon, porthole, cabbage, shield, bowl, plate, bathtub"
is salty,19,taste,taste,,,,,"bacon, chips, french_fries, pretzel, soy_sauce, cracker, peanut_butter, pickle, caviar, ham, pistachio, spam, olive, nacho, popcorn, pepperoni, bologna, snack, peanut"
is turned on and off,19,encyclopedic,encyclopedic,,,,,"faucet, headlight, lamp, burner, lightbulb, water_heater, flashlight, television, hydrant, windshield_wiper, streetlight, torch, lantern, radiator, heater, taillight, outlet, fan, spout"
is used for military purposes,19,function,function,,,,,"aircraft_carrier, missile, radar, submarine, flamethrower, armor, bazooka, humvee, seaplane, tank1, cannonball, sandbag, hovercraft, dynamite, machine_gun, periscope, catapult, detonator, jeep"
is used in drinks,19,function,function,,,,,"cherry, ice, vending_machine, blender, mint, syrup, lime, coconut, thermos, ginger, cinnamon, whipped_cream, coaster, lemon, cooler, pineapple, pomegranate, swizzle_stick, watermelon"
is used in orchestras,19,function,function,,,,,"clarinet, flute, harp, horn, tuba, french_horn, trombone, gong, trumpet, xylophone, organ, bassoon, baton1, cello, violin, kazoo, saxophone, cymbal, keyboard"
has a switch,18,visual-form_and_surface,visual-form_and_surface,,,,,"lamp, torch, flashlight, hairdryer, dashboard, heater, light_switch, outlet, penlight, lantern, fan, kettle, plug, coffeemaker, thermostat, electric_chair, streetlight, headlight"
has hinges,18,visual-form_and_surface,visual-form_and_surface,,,,,"car_door, door, gate, scissors, suitcase, nutcracker, chest2, pliers, binoculars, locket, trapdoor, tongs, hairpin, buckle, punch2, shears, porthole, toolbox"
has keys,18,visual-form_and_surface,visual-form_and_surface,,,,,"piano, saxophone, keyboard, typewriter, accordion, clarinet, organ, padlock, lock, map, trumpet, xylophone, tuba, flute, bassoon, bank, filing_cabinet, music_box"
has safety features,18,encyclopedic,encyclopedic,,,,,"ferris_wheel, trampoline, burner, heater, ski_lift, trigger, treadmill, forklift, scaffold, scaffolding, water_heater, charger, centrifuge, car_seat, food_processor, airplane, crib, hotplate"
is fresh,18,taste,taste,,,,,"basil, spaghetti, cheese, pasta, fig, bean, noodle, macaroni, mint, pepper1, ginger, tomato_sauce, parsley, meat, potpie, cilantro, ravioli, salad"
is opened or closed,18,encyclopedic,encyclopedic,,,,,"curtain, porthole, sunroof, window, latch, lid, vent, valve, dollhouse, shutter, door, slot, chute, spout, blind, bracket, lock, terrarium"
is played solo or in an ensemble,18,encyclopedic,encyclopedic,,,,,"xylophone, organ, piano, keyboard, flute, horn, recorder, bongo, trumpet, french_horn, harmonica, accordion, saxophone, mandolin, drumstick, trombone, guitar, clarinet"
is vegetarian or non - vegetarian,18,taxonomic,encyclopedic,,,,,"tostada, curry, enchilada, ravioli, soup, casserole, sandwich, ready_meal, salad, appetizer, pizza, quesadilla, dish, buffet, taco, wrap, quiche, lasagna"
is vertical,18,visual-form_and_surface,visual-form_and_surface,,,,,"chimney, railing, blind, slot, bedpost, fencepost, filing_cabinet, waterwheel, column, flagpole, mast, chute, pole, wall, totem_pole, goalpost, turbine, barcode"
causes damage,17,encyclopedic,function,,,,,"cannon, sledgehammer, bullet, cannonball, steamroller, bowling_ball, shell1, grenade, torpedo, boulder, bomb, dynamite, thorn, barbed_wire, firecracker, fire, tack"
grows on a plant,17,encyclopedic,encyclopedic,,,,,"artichoke, bell_pepper, eggplant, fruit, pineapple, strawberry, pepper1, grain, sprouts, thorn, okra, chickpea, flower, peanut, berry, jalapeno, banana"
has a sharp point,17,visual-form_and_surface,visual-form_and_surface,,,,,"icepick, thumbtack, hook2, tack, fishhook, pin, punch2, pine_needle, safety_pin, dart, spear, spur, corkscrew, needle, arrow, tool, dagger"
has a tangy flavor,17,taste,taste,,,,,"cream_cheese, hip, ketchup, marmalade, mustard, lemon, guacamole, pomegranate, cilantro, raspberry, sauerkraut, tomato_sauce, blackberry, star_fruit, coleslaw, cherry, lemonade"
has green leaves,17,visual-color,visual-color,,,,,"cilantro, mistletoe, parsley, basil, dandelion, daisy, scallion, carrot, ivy, bok_choy, poinsettia, chive, leek, grass, fern, mint, orchid"
is a beverage,17,taxonomic,taxonomic,,,,,"hot_chocolate, latte, milkshake, soda, tea, wine, punch1, eggnog, smoothie, beer, champagne, coffee, juice, espresso, margarita, lemonade, cocktail"
is dense,17,tactile,tactile,,,,,"fruitcake, scone, cloud, lava, cheesecake, gold, coal, hedge, bagel, snow, piecrust, stump, wood, bone, puck, rock, cornbread"
is of different sizes,17,visual-form_and_surface,visual-form_and_surface,,,,,"bin, aquarium, hula_hoop, trampoline, pipe2, barrel, album, baseball_bat, gift, trunk, bowl, coil, slot, gear, cage, shell1, rack1"
is pink,17,visual-color,visual-color,,,,,"eraser, grapefruit, tongue, cotton_candy, pig, piglet, bologna, shrimp, champagne, flamingo, lamb_chop, peach, cockatoo, poppy, ham, poinsettia, rhubarb"
is round or oval shaped,17,visual-form_and_surface,visual-form_and_surface,,,,,"nest, shield, strainer, paper_plate, cabbage, pill, pearl, bowl, fishbowl, dumpling, grape, potato, peach, porthole, satellite_dish, tortilla, sea_urchin"
is soft to the touch,17,tactile,tactile,,,,,"fur_coat, grass, bathmat, rug, boa, moss, sheet, corkboard, petal, pom-pom, peach, paper_towel, turf, napkin, whoopee_cushion, scarf, towel"
is used for comfort,17,function,function,,,,,"cushion, quilt, blanket, mat, recliner, robe, teddy_bear, hot-water_bottle, saddle, headrest, sheet, pillow, footrest, lingerie, bathrobe, sock, sweater"
is used for emergencies,17,function,function,,,,,"first-aid_kit, extinguisher, ambulance, torch, flashlight, hydrant, payphone, fire_hydrant, lifesaver, firetruck, whistle, raft, defibrillator, megaphone, police_car, parachute, siren"
produces light,17,encyclopedic,function,,,,,"candle, lightbulb, lightning_bug, fire, fireworks, torch, firewood, flashlight, lamp, candlestick, burner, sparkler, headlight, lantern, penlight, fire_pit, fireplace"
has a lens,16,visual-form_and_surface,visual-form_and_surface,,,,,"camcorder, eye, camera2, magnifier, webcam, camera1, headlight, polaroid, projector, viewfinder, reel, flashlight, magnifying_glass, eyepiece, telescope, streetlight"
has a temperature control,16,visual-form_and_surface,function,,,,,"freezer, refrigerator, toaster, iron, curling_iron, waffle_iron, wine_cooler, incubator, shower, oven, flatiron, toaster_oven, soldering_iron, heater, hot_tub, water_heater"
has flowers,16,visual-form_and_surface,visual-form_and_surface,,,,,"bush, moss, orchid, weed, cactus, fern, branch, hedge, poppy, clover, tree, wreath, seaweed, bouquet, ivy, plant"
has lights,16,visual-form_and_surface,visual-form_and_surface,,,,,"pinball, firetruck, ambulance, jukebox, carousel, christmas_tree, sidecar, slot_machine, police_car, ferris_wheel, scoreboard, traffic_light, garbage_truck, dashboard, train, photo_booth"
has long legs,16,visual-form_and_surface,visual-form_and_surface,,,,,"camel, flamingo, giraffe, ostrich, racehorse, cheetah, gazelle, stilt, grasshopper, mosquito, moose, praying_mantis, zebra, antelope, alpaca, llama"
has scales,16,visual-form_and_surface,visual-form_and_surface,,,,,"blowfish, cobra, fish, goldfish, iguana, lizard, pinecone, rattlesnake, snake, eel, sardine, swordfish, turtle, alligator, catfish, map"
has sharp teeth and claws,16,visual-form_and_surface,visual-form_and_surface,,,,,"cheetah, cougar, coyote, ferret, fox, leopard, lion, panther, tiger, weasel, mongoose, wolf, possum, polar_bear, bat1, raccoon"
is made of cotton or other materials,16,visual-form_and_surface,visual-form_and_surface,,,,,"wick, bandanna, t-shirt, boxer_shorts, undershirt, towel, washcloth, bathrobe, gauze, handkerchief, dishrag, polo_shirt, underwear, hoodie, sheet, pajamas"
is often used by children,16,function,encyclopedic,,,,,"tricycle, rocking_horse, dollhouse, piggy_bank, whoopee_cushion, scooter, pogo_stick, sandbox, trampoline, kaleidoscope, mitten, kazoo, hobbyhorse, train_set, crayon, doll"
is used for heating,16,function,function,,,,,"burner, charcoal, hotplate, blowtorch, radiator, fire, firewood, oil, duct, chimney, coal, furnace, fireplace, microwave, grate, heater"
is used for insulation,16,function,function,,,,,"feather, wall, hay, plastic_film, quilt, brick, wallpaper, bark, cork, foam, cornhusk, rug, tapestry, straw1, shutter, curtain"
is used for security,16,function,function,,,,,"wall, barbed_wire, fence, hedge, trapdoor, door, padlock, combination_lock, gate, key, lock, fencepost, latch, screen2, doorhandle, turnstile"
is used in agriculture,16,function,function,,,,,"machete, sickle, sheep, yoke, hoe, incubator, pitchfork, rain_gauge, scarecrow, tractor, wagon, cart, straw1, trough, hay, pig"
comes in a container,15,encyclopedic,encyclopedic,,,,,"toothpaste, sewing_kit, dishwashing_liquid, drink, toothpick, shoe_polish, mascara, match, lip_balm, sugar_cube, deodorant, shaving_cream, lip_gloss, marmalade, peanut_butter"
has a bulb,15,visual-form_and_surface,visual-form_and_surface,,,,,"lamp, tulip, streetlight, lantern, onion, flashlight, headlamp, headlight, thermometer, penlight, torch, projector, lamppost, chandelier, garlic"
has a bushy tail,15,visual-form_and_surface,visual-form_and_surface,,,,,"chipmunk, coyote, fox, squirrel, chinchilla, skunk, ferret, porcupine, groundhog, raccoon, weasel, anteater, wolf, meerkat, badger"
has a button,15,visual-form_and_surface,visual-form_and_surface,,,,,"switch, hoodie, snowsuit, doorbell, jacket, torch, combination_lock, jeans, raincoat, handbrake, light_switch, slot_machine, dress, joystick, lighter"
has adjustable height,15,encyclopedic,encyclopedic,,,,,"ironing_board, stilt, crib, crutch, shelf, wheelchair, riser, dolly, walker1, easel, gurney, highchair, scooter, cane, sweeper"
has branches,15,visual-form_and_surface,visual-form_and_surface,,,,,"bush, tree, apple_tree, christmas_tree, pine_tree, bank, twig, stump, tree_trunk, log, branch, stem, root, candelabra, hedge"
has muscles,15,encyclopedic,visual-form_and_surface,,,,,"neck, stomach, shoulder, foot, leg, scallop, arm, calf2, torso, wrist, hip, chest1, chin, hand, man"
holds water,15,visual-form_and_surface,function,,,,,"fishbowl, watering_can, sponge, water_bottle, footbath, swimming_pool, aquarium, bathtub, birdbath, sink, sand, bucket, trough, mud, coffee_pot"
is flavored with various ingredients,15,encyclopedic,taste,,,,,"caramel, pudding, syrup, milkshake, souffle, batter, eclair, cheesecake, fudge, mousse, cream_cheese, cupcake, cake, oatmeal, flan"
is found in nature,15,encyclopedic,encyclopedic,,,,,"stick, rock, beehive, boulder, clay, mud, spider_web, slime, cocoon, moth, shell3, bush, flower, ice, pinecone"
is hung on a wall,15,encyclopedic,encyclopedic,,,,,"bulletin_board, poster, corkboard, dartboard, mirror, wreath, frame, chalkboard, washboard, cuckoo_clock, painting, clipboard, target, whiteboard, backdrop"
is injured,15,encyclopedic,encyclopedic,,,,,"knee, shoulder, finger, foot, arm, calf2, ankle, wrist, leg, toe, chest1, neck, tongue, elbow, thumb"
is long and cylindrical in shape,15,visual-form_and_surface,visual-form_and_surface,,,,,"missile, torpedo, bazooka, eclair, carrot, cucumber, zucchini, submarine, straw1, hotdog, leek, okra, green_beans, trombone, worm"
is personalized with engravings,15,visual-form_and_surface,encyclopedic,,,,,"baseball_bat, bat2, jewelry, music_box, urn, bracelet2, trophy, locket, wind_chimes, napkin_ring, flask, paperweight, belt_buckle, coffin, bracelet1"
is potassium,15,encyclopedic,encyclopedic,,,,,"rocket, fig, zucchini, cantaloupe, beet, potato, pear, avocado, radish, green_beans, carrot, cucumber, arugula, maple_syrup, star_fruit"
is stored for a long time,15,encyclopedic,encyclopedic,,,,,"fruitcake, cake_mix, flour, cabbage, cornmeal, cracker, dogfood, potato, honey, bologna, ready_meal, raisin, pet_food, sugar_cube, breadstick"
is sweetened with sugar,15,encyclopedic,taste,,,,,"cereal, smoothie, whipped_cream, granola, hot_chocolate, punch1, coffee, pickle, peanut_butter, tea, oatmeal, lemonade, margarita, gum, cornbread"
is used for various purposes,15,function,function,,,,,"coil, hole, switch, knife, knot, gel, powder, pump, counter, duct_tape, strap, makeup, rubber_band, roll, bark"
is used in music,15,function,function,,,,,"keyboard, metronome, whistle, speaker, headset, horn, organ, amplifier, cymbal, drumstick, tambourine, gong, shaker, record, microphone"
is used in schools,15,function,function,,,,,"bulletin_board, abacus, folder, clipboard, pencil_sharpener, tape, eraser, stapler, staple, locker, ruler, tack, binder, thumbtack, notebook"
lives in burrows,15,encyclopedic,encyclopedic,,,,,"chipmunk, badger, rabbit, groundhog, meerkat, squirrel, tarantula, weasel, possum, mongoose, chinchilla, aardvark, hedgehog, skunk, mouse1"
lives near water,15,encyclopedic,encyclopedic,,,,,"flamingo, otter, dragonfly, frog, goose, pelican, toad, beaver, hippopotamus, swan, seagull, puffin, mosquito, duck, platypus"
